FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
19791,421108,I,1/24/13 0:00,,,Vehicle/Towed Trailer
19574,421872,D,1/27/13 0:00,28,F,Outside/Open Areas
19575,421873,D,1/27/13 0:00,30,M,Outside/Open Areas
19577,422507,I,1/13/13 0:00,42,M,Vehicle/Towed Trailer
19578,422671,D,1/19/13 0:00,60,M,In Water
19579,422937,I,2/2/13 0:00,46,F,Other
19587,423156,I,1/9/13 0:00,1,M,Vehicle/Towed Trailer
19588,423156,I,1/9/13 0:00,3,M,Vehicle/Towed Trailer
19798,423269,I,1/27/13 0:00,,,Vehicle/Towed Trailer
19609,424565,D,1/18/13 0:00,47,M,In Water
19610,424565,D,1/18/13 0:00,46,M,In Water
19624,426115,I,2/23/13 0:00,51,M,Vehicle/Towed Trailer
19667,426456,I,1/27/13 0:00,21,F,Vehicle/Towed Trailer
19662,426639,D,1/30/13 0:00,50,F,Outside/Open Areas
19671,427387,I,2/25/13 0:00,71,M,Permanent Home
19672,427445,I,1/16/13 0:00,60,M,Vehicle/Towed Trailer
19686,427488,D,1/21/13 0:00,38,M,Outside/Open Areas
19678,427656,D,2/18/13 0:00,60,M,In Water
19685,427677,D,3/1/13 0:00,40,M,Outside/Open Areas
19680,427678,D,3/3/13 0:00,,,Other
19681,427696,D,2/26/13 0:00,61,M,In Water
19684,427801,I,2/26/13 0:00,81,M,Outside/Open Areas
19691,428112,I,1/11/13 0:00,,M,Other
19692,428112,I,1/11/13 0:00,,M,Other
19693,428112,I,1/11/13 0:00,,M,Other
19694,428112,I,1/11/13 0:00,,M,Other
19696,428124,D,2/21/13 0:00,74,F,Mobile/Trailer Home
19923,428260,D,1/30/13 0:00,51,M,Mobile/Trailer Home
19697,428333,D,2/26/13 0:00,60,M,Vehicle/Towed Trailer
19704,428867,I,1/30/13 0:00,39,M,Vehicle/Towed Trailer
19711,428996,I,1/27/13 0:00,45,M,Vehicle/Towed Trailer
19713,429176,D,1/1/13 0:00,,M,In Water
19715,429178,D,1/13/13 0:00,40,M,In Water
19972,429685,D,1/31/13 0:00,26,F,Camping
19716,429686,D,1/4/13 0:00,60,M,Outside/Open Areas
19717,429697,D,1/17/13 0:00,71,M,Vehicle/Towed Trailer
19720,429700,D,1/20/13 0:00,70,M,Unknown
19723,429789,I,1/27/13 0:00,24,F,Vehicle/Towed Trailer
19724,429868,D,1/18/13 0:00,7,M,Outside/Open Areas
19725,429868,D,1/18/13 0:00,14,M,Outside/Open Areas
19935,429887,I,1/24/13 0:00,,,Unknown
19728,429917,D,1/21/13 0:00,12,F,Outside/Open Areas
19737,430080,D,1/13/13 0:00,19,M,Vehicle/Towed Trailer
19792,430257,D,1/12/13 0:00,59,M,Vehicle/Towed Trailer
20021,430416,I,2/5/13 0:00,28,F,Vehicle/Towed Trailer
19944,430579,D,1/15/13 0:00,79,M,Outside/Open Areas
19797,430751,D,2/21/13 0:00,,F,In Water
19799,431016,I,3/10/13 0:00,22,M,Unknown
19800,431017,I,3/10/13 0:00,22,M,Unknown
19801,431018,I,3/10/13 0:00,22,M,Unknown
19802,431019,I,3/10/13 0:00,22,M,Unknown
19803,431020,I,3/10/13 0:00,22,M,Unknown
19805,431022,I,3/10/13 0:00,22,M,Unknown
19924,431604,D,1/24/13 0:00,71,M,Permanent Home
19925,431647,D,1/30/13 0:00,47,M,Other
19928,431698,D,1/16/13 0:00,62,M,Outside/Open Areas
19929,431724,I,1/28/13 0:00,,F,Vehicle/Towed Trailer
19930,431724,I,1/28/13 0:00,,,Vehicle/Towed Trailer
19931,431749,D,1/13/13 0:00,36,M,Outside/Open Areas
19932,431749,D,1/13/13 0:00,10,M,Outside/Open Areas
19933,431749,D,1/13/13 0:00,8,M,Outside/Open Areas
19937,431896,D,1/1/13 0:00,59,M,In Water
19941,431929,I,1/16/13 0:00,21,M,Permanent Home
19943,431932,I,1/16/13 0:00,30,M,Other
19950,432073,I,2/22/13 0:00,55,M,Vehicle/Towed Trailer
19951,432653,I,1/4/13 0:00,,,Vehicle/Towed Trailer
19952,432835,I,2/10/13 0:00,26,F,Vehicle/Towed Trailer
19955,434997,I,2/8/13 0:00,50,F,Vehicle/Towed Trailer
19956,435346,D,2/11/13 0:00,58,M,Outside/Open Areas
19963,435577,D,2/7/13 0:00,60,M,Permanent Structure
19964,435578,D,2/9/13 0:00,60,M,Outside/Open Areas
19965,435579,D,2/25/13 0:00,56,M,Outside/Open Areas
19971,435755,I,2/18/13 0:00,22,M,Vehicle/Towed Trailer
19970,435861,I,2/9/13 0:00,60,M,Outside/Open Areas
19968,435864,I,2/10/13 0:00,13,M,Vehicle/Towed Trailer
19969,435864,I,2/10/13 0:00,,M,Vehicle/Towed Trailer
19967,435889,I,2/11/13 0:00,,M,Outside/Open Areas
20018,436907,D,2/9/13 0:00,,,Unknown
20019,436907,D,2/9/13 0:00,,,Unknown
20020,436907,D,2/9/13 0:00,,,Unknown
20016,436908,D,2/9/13 0:00,,,Unknown
20017,436908,D,2/9/13 0:00,,,Unknown
20015,436909,D,2/9/13 0:00,,,Unknown
20014,436910,D,2/9/13 0:00,,,Unknown
20226,436912,D,4/23/13 0:00,57,F,Outside/Open Areas
19997,436974,I,2/6/13 0:00,,F,Vehicle/Towed Trailer
19998,436974,I,2/6/13 0:00,,M,Vehicle/Towed Trailer
19999,436974,I,2/6/13 0:00,,M,Vehicle/Towed Trailer
20000,436974,I,2/6/13 0:00,,M,Vehicle/Towed Trailer
20003,437021,D,3/18/13 0:00,65,M,Vehicle/Towed Trailer
20004,437032,I,3/18/13 0:00,,M,Vehicle/Towed Trailer
20013,437702,I,4/29/13 0:00,20,F,Vehicle/Towed Trailer
20022,438250,D,3/8/13 0:00,38,F,In Water
20043,438404,D,3/1/13 0:00,32,M,Outside/Open Areas
20034,438818,I,3/11/13 0:00,56,M,Vehicle/Towed Trailer
20026,438836,D,3/8/13 0:00,93,F,Outside/Open Areas
20029,438967,D,4/9/13 0:00,35,F,Outside/Open Areas
20256,439576,D,4/29/13 0:00,55,M,In Water
20255,439635,I,4/28/13 0:00,51,M,Outside/Open Areas
20257,439748,D,4/11/13 0:00,28,M,Business
20467,440073,D,4/18/13 0:00,62,F,Vehicle/Towed Trailer
20390,440213,D,5/9/13 0:00,75,M,Vehicle/Towed Trailer
20391,440213,D,5/9/13 0:00,7,M,Vehicle/Towed Trailer
20044,440732,D,3/17/13 0:00,12,F,Vehicle/Towed Trailer
20045,440735,D,3/22/13 0:00,23,F,Vehicle/Towed Trailer
20057,441212,I,3/31/13 0:00,33,M,Vehicle/Towed Trailer
20058,441212,I,3/31/13 0:00,71,F,Vehicle/Towed Trailer
20059,441212,I,3/31/13 0:00,24,M,Vehicle/Towed Trailer
20052,441421,D,3/2/13 0:00,1,M,Outside/Open Areas
20053,441422,D,3/17/13 0:00,43,M,Outside/Open Areas
21515,442002,D,5/14/13 0:00,22,M,In Water
20055,442478,D,3/16/13 0:00,55,M,In Water
20326,442538,D,5/27/13 0:00,71,M,Vehicle/Towed Trailer
20333,443090,D,5/15/13 0:00,61,M,Mobile/Trailer Home
20334,443090,D,5/15/13 0:00,81,F,Mobile/Trailer Home
20335,443090,D,5/15/13 0:00,34,M,Mobile/Trailer Home
20336,443090,D,5/15/13 0:00,81,M,Mobile/Trailer Home
20337,443090,D,5/15/13 0:00,69,M,Mobile/Trailer Home
20338,443090,D,5/15/13 0:00,63,F,Mobile/Trailer Home
20096,443429,D,5/30/13 0:00,25,M,In Water
20097,443650,D,5/31/13 0:00,22,M,In Water
20470,443862,D,5/29/13 0:00,87,M,Outside/Open Areas
20232,444340,D,5/30/13 0:00,33,M,Vehicle/Towed Trailer
20369,444702,D,5/31/13 0:00,17,M,Outside/Open Areas
20101,444705,D,5/31/13 0:00,72,M,Vehicle/Towed Trailer
21009,445096,D,6/8/13 0:00,68,M,In Water
21007,445169,D,6/9/13 0:00,44,M,In Water
21008,445169,D,6/9/13 0:00,48,M,In Water
20106,445350,D,6/7/13 0:00,49,M,Outside/Open Areas
20107,445434,D,5/28/13 0:00,51,F,Outside/Open Areas
20118,445551,D,6/9/13 0:00,34,M,In Water
20119,445551,D,6/9/13 0:00,25,M,In Water
20120,445551,D,6/9/13 0:00,50,M,In Water
20121,445553,D,6/10/13 0:00,62,M,In Water
20123,445578,D,6/11/13 0:00,67,M,In Water
20696,445901,D,5/31/13 0:00,41,M,Boating
20697,445901,D,5/31/13 0:00,32,M,Boating
20698,445901,D,5/31/13 0:00,60,F,Boating
20699,445901,D,5/31/13 0:00,65,F,Permanent Home
20700,445901,D,5/31/13 0:00,42,F,Vehicle/Towed Trailer
20265,445954,D,5/31/13 0:00,18,M,In Water
20181,446122,D,4/18/13 0:00,80,F,Vehicle/Towed Trailer
20190,447056,D,5/9/13 0:00,36,M,In Water
20221,447506,D,4/20/13 0:00,32,M,Outside/Open Areas
20222,447506,D,4/20/13 0:00,32,M,Outside/Open Areas
20223,447506,D,4/20/13 0:00,33,M,Outside/Open Areas
20224,447506,D,4/20/13 0:00,33,M,Outside/Open Areas
20225,447506,D,4/20/13 0:00,36,M,Outside/Open Areas
20228,447566,I,6/10/13 0:00,51,M,Vehicle/Towed Trailer
20229,447633,D,6/2/13 0:00,21,M,Outside/Open Areas
20230,447853,D,4/13/13 0:00,,F,Outside/Open Areas
20231,447854,D,4/13/13 0:00,,M,Outside/Open Areas
20233,448122,D,4/3/13 0:00,64,M,In Water
20234,448423,D,4/19/13 0:00,64,M,Vehicle/Towed Trailer
20235,448423,D,4/20/13 0:00,42,M,Vehicle/Towed Trailer
20244,448660,D,4/3/13 0:00,18,M,Vehicle/Towed Trailer
20237,448662,D,4/3/13 0:00,62,M,Outside/Open Areas
20239,448693,D,4/3/13 0:00,56,M,Vehicle/Towed Trailer
20243,448714,D,6/12/13 0:00,50,M,Outside/Open Areas
20245,448793,D,6/16/13 0:00,,M,Outside/Open Areas
20246,448793,D,6/16/13 0:00,,M,Outside/Open Areas
20247,448793,D,6/16/13 0:00,,M,Outside/Open Areas
