FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
9144,289571,D,4/15/11 0:00,7,M,Permanent Home
9730,289592,D,4/26/11 0:00,1,M,Permanent Home
9138,289612,D,4/25/11 0:00,63,M,Mobile/Trailer Home
9139,289612,D,4/25/11 0:00,55,M,Mobile/Trailer Home
9140,289612,D,4/25/11 0:00,45,M,Other
9141,289612,D,4/25/11 0:00,45,F,Other
8793,290103,D,3/19/11 0:00,46,M,Vehicle/Towed Trailer
8792,290109,D,3/16/11 0:00,35,M,In Water
8753,290116,D,4/27/11 0:00,22,M,In Water
8754,290116,D,4/27/11 0:00,18,M,In Water
8755,290116,D,4/27/11 0:00,12,M,In Water
8756,290503,I,3/22/11 0:00,69,F,Vehicle/Towed Trailer
16435,290523,D,4/11/11 0:00,26,M,Unknown
8757,290786,D,2/8/11 0:00,33,M,Outside/Open Areas
8764,290951,D,4/15/11 0:00,6,M,Permanent Home
8763,290952,D,4/15/11 0:00,56,M,Mobile/Trailer Home
8765,290959,D,4/15/11 0:00,24,M,Mobile/Trailer Home
8766,290959,D,4/15/11 0:00,1,F,Mobile/Trailer Home
8786,290997,I,3/21/11 0:00,65,F,Vehicle/Towed Trailer
8777,291087,I,2/3/11 0:00,,,Vehicle/Towed Trailer
8778,291103,I,2/3/11 0:00,,,Vehicle/Towed Trailer
8779,291103,I,2/3/11 0:00,,,Vehicle/Towed Trailer
8780,291136,I,2/3/11 0:00,,,Vehicle/Towed Trailer
8788,291417,D,5/14/11 0:00,12,M,In Water
8789,291544,D,5/14/11 0:00,17,M,In Water
9029,291597,D,4/23/11 0:00,54,M,Vehicle/Towed Trailer
8997,291601,D,3/20/11 0:00,77,F,Vehicle/Towed Trailer
9035,291814,D,4/25/11 0:00,65,M,Vehicle/Towed Trailer
8809,292185,D,3/5/11 0:00,21,F,Permanent Home
8803,292351,D,3/26/11 0:00,26,M,Outside/Open Areas
9682,292605,D,4/26/11 0:00,3,M,Permanent Home
8810,293377,D,3/8/11 0:00,97,F,Outside/Open Areas
9890,293821,D,4/27/11 0:00,,F,Vehicle/Towed Trailer
9889,293825,D,4/27/11 0:00,45,M,Vehicle/Towed Trailer
17283,294036,D,4/27/11 0:00,42,F,Permanent Home
17284,294036,D,4/27/11 0:00,77,M,Permanent Home
17285,294036,D,4/27/11 0:00,33,F,Permanent Home
17286,294036,D,4/27/11 0:00,56,F,Permanent Home
13861,294080,D,5/22/11 0:00,59,M,Vehicle/Towed Trailer
8828,294306,I,4/15/11 0:00,50,M,Outside/Open Areas
9722,294514,I,4/5/11 0:00,22,M,Vehicle/Towed Trailer
8829,294833,D,3/15/11 0:00,44,F,Permanent Home
8871,294862,D,4/4/11 0:00,4,M,Permanent Home
8872,294862,D,4/4/11 0:00,34,M,Permanent Home
8840,295231,I,3/26/11 0:00,21,M,Vehicle/Towed Trailer
8841,295231,I,3/26/11 0:00,18,M,Vehicle/Towed Trailer
8842,295231,I,3/26/11 0:00,18,M,Vehicle/Towed Trailer
8843,295231,I,3/26/11 0:00,18,M,Vehicle/Towed Trailer
8844,295231,I,3/26/11 0:00,18,M,Vehicle/Towed Trailer
8845,295249,I,4/4/11 0:00,87,M,Outside/Open Areas
8853,295299,D,3/11/11 0:00,25,M,Outside/Open Areas
9862,295351,D,4/5/11 0:00,45,M,Mobile/Trailer Home
8859,295378,D,4/4/11 0:00,,M,Unknown
8861,295400,D,5/31/11 0:00,0,,Unknown
15904,295476,D,5/21/11 0:00,53,M,Mobile/Trailer Home
8894,296305,D,6/2/11 0:00,31,M,Outside/Open Areas
9019,296420,D,4/25/11 0:00,56,M,Vehicle/Towed Trailer
9020,296420,D,4/25/11 0:00,50,M,Vehicle/Towed Trailer
9892,296429,D,4/25/11 0:00,75,M,Vehicle/Towed Trailer
9893,296429,D,4/25/11 0:00,72,F,Vehicle/Towed Trailer
9023,296431,D,4/25/11 0:00,38,F,Vehicle/Towed Trailer
8867,296449,D,4/5/11 0:00,22,M,Vehicle/Towed Trailer
15345,296474,D,4/27/11 0:00,50,M,In Water
16821,296617,D,5/22/11 0:00,71,M,Unknown
16822,296617,D,5/22/11 0:00,54,F,Unknown
16823,296617,D,5/22/11 0:00,48,F,Unknown
16824,296617,D,5/22/11 0:00,56,F,Unknown
16825,296617,D,5/22/11 0:00,79,F,Unknown
16826,296617,D,5/22/11 0:00,88,M,Unknown
16827,296617,D,5/22/11 0:00,49,M,Unknown
16828,296617,D,5/22/11 0:00,91,F,Unknown
16872,296617,D,5/22/11 0:00,85,M,Unknown
16888,296617,D,5/22/11 0:00,91,F,Unknown
16854,296617,D,5/22/11 0:00,16,F,Business
16855,296617,D,5/22/11 0:00,59,M,Business
16856,296617,D,5/22/11 0:00,34,F,Business
16857,296617,D,5/22/11 0:00,27,M,Business
16858,296617,D,5/22/11 0:00,66,F,Business
16859,296617,D,5/22/11 0:00,62,F,Business
16843,296617,D,5/22/11 0:00,9,M,Church
16844,296617,D,5/22/11 0:00,55,F,Church
16845,296617,D,5/22/11 0:00,17,F,Church
16846,296617,D,5/22/11 0:00,78,F,Church
16847,296617,D,5/22/11 0:00,57,F,Church
16848,296617,D,5/22/11 0:00,49,M,Church
16849,296617,D,5/22/11 0:00,58,F,Church
16850,296617,D,5/22/11 0:00,41,M,Church
16851,296617,D,5/22/11 0:00,8,F,Church
16852,296617,D,5/22/11 0:00,77,F,Church
16853,296617,D,5/22/11 0:00,46,F,Church
16831,296617,D,5/22/11 0:00,20,F,Long Span Roof
16832,296617,D,5/22/11 0:00,59,M,Long Span Roof
16833,296617,D,5/22/11 0:00,40,M,Long Span Roof
16834,296617,D,5/22/11 0:00,41,F,Long Span Roof
16835,296617,D,5/22/11 0:00,37,M,Long Span Roof
16836,296617,D,5/22/11 0:00,62,M,Long Span Roof
16837,296617,D,5/22/11 0:00,50,F,Long Span Roof
16838,296617,D,5/22/11 0:00,29,M,Long Span Roof
16839,296617,D,5/22/11 0:00,5,F,Long Span Roof
16840,296617,D,5/22/11 0:00,1,M,Long Span Roof
16841,296617,D,5/22/11 0:00,21,M,Long Span Roof
16842,296617,D,5/22/11 0:00,27,M,Long Span Roof
16829,296617,D,5/22/11 0:00,27,M,Mobile/Trailer Home
16830,296617,D,5/22/11 0:00,70,M,Mobile/Trailer Home
16819,296617,D,5/22/11 0:00,23,F,Outside/Open Areas
16820,296617,D,5/22/11 0:00,49,F,Outside/Open Areas
16729,296617,D,5/22/11 0:00,23,M,Permanent Home
16730,296617,D,5/22/11 0:00,83,F,Permanent Home
16731,296617,D,5/22/11 0:00,36,F,Permanent Home
16732,296617,D,5/22/11 0:00,92,F,Permanent Home
16733,296617,D,5/22/11 0:00,33,M,Permanent Home
16734,296617,D,5/22/11 0:00,1,M,Permanent Home
16735,296617,D,5/22/11 0:00,44,M,Permanent Home
16736,296617,D,5/22/11 0:00,12,M,Permanent Home
16762,296617,D,5/22/11 0:00,71,M,Permanent Home
16763,296617,D,5/22/11 0:00,70,M,Permanent Home
16764,296617,D,5/22/11 0:00,76,M,Permanent Home
16765,296617,D,5/22/11 0:00,80,F,Permanent Home
16766,296617,D,5/22/11 0:00,50,F,Permanent Home
16767,296617,D,5/22/11 0:00,64,F,Permanent Home
16768,296617,D,5/22/11 0:00,66,F,Permanent Home
16769,296617,D,5/22/11 0:00,52,M,Permanent Home
