FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
19603,369148,D,1/29/13 0:00,71,M,Permanent Home
17756,369184,D,2/27/12 0:00,81,M,Outside/Open Areas
17960,369430,D,3/2/12 0:00,54,M,Mobile/Trailer Home
17962,369430,D,3/2/12 0:00,58,M,Mobile/Trailer Home
17961,369430,D,3/2/12 0:00,64,F,Permanent Home
18117,369474,D,3/2/12 0:00,79,M,Permanent Structure
18118,369474,D,3/2/12 0:00,73,F,Permanent Structure
18115,369474,D,3/2/12 0:00,25,M,Vehicle/Towed Trailer
18116,369474,D,3/2/12 0:00,43,F,Vehicle/Towed Trailer
17810,369801,D,2/16/12 0:00,37,M,Outside/Open Areas
18120,370174,D,3/2/12 0:00,99,F,Mobile/Trailer Home
18418,370444,I,5/6/12 0:00,39,M,Permanent Home
18419,370444,I,5/6/12 0:00,47,M,Permanent Home
17929,371334,D,3/23/12 0:00,49,M,Vehicle/Towed Trailer
17930,371334,D,3/23/12 0:00,60,F,Vehicle/Towed Trailer
17976,372236,D,3/26/12 0:00,76,F,Outside/Open Areas
17975,372236,D,3/26/12 0:00,77,M,Permanent Home
17977,372236,D,3/26/12 0:00,51,F,Permanent Home
18003,372428,D,3/31/12 0:00,16,M,In Water
18141,372583,D,5/4/12 0:00,74,F,Vehicle/Towed Trailer
18147,372666,D,5/19/12 0:00,23,F,Outside/Open Areas
18148,372667,D,5/21/12 0:00,35,F,Outside/Open Areas
18125,372841,I,3/5/12 0:00,34,M,Vehicle/Towed Trailer
18061,373226,D,3/16/12 0:00,57,M,Vehicle/Towed Trailer
18062,373228,D,3/13/12 0:00,21,M,Vehicle/Towed Trailer
18063,373229,D,3/18/12 0:00,35,M,Vehicle/Towed Trailer
18064,373231,D,3/15/12 0:00,18,M,Outside/Open Areas
18069,373389,D,5/27/12 0:00,3,M,Outside/Open Areas
18104,373414,D,3/21/12 0:00,75,M,Vehicle/Towed Trailer
18121,373886,D,3/30/12 0:00,12,M,Under Tree
18122,373905,I,4/1/12 0:00,18,M,Boating
18123,373911,D,5/29/12 0:00,51,M,Vehicle/Towed Trailer
18132,374032,D,5/26/12 0:00,2,M,Outside/Open Areas
19275,374176,D,4/4/12 0:00,,M,In Water
18140,374200,D,3/23/12 0:00,60,F,Mobile/Trailer Home
19359,374385,D,3/2/12 0:00,57,M,Mobile/Trailer Home
18155,374622,D,5/28/12 0:00,19,M,In Water
18144,374708,D,3/24/12 0:00,61,F,Vehicle/Towed Trailer
18230,375925,D,4/18/12 0:00,16,M,In Water
18156,375926,D,4/18/12 0:00,14,M,In Water
18157,376440,D,6/5/12 0:00,18,M,In Water
18158,376441,D,6/7/12 0:00,13,F,In Water
18163,377350,D,4/28/12 0:00,58,M,Outside/Open Areas
18166,377587,D,4/29/12 0:00,35,M,In Water
18550,378398,D,6/19/12 0:00,26,M,In Water
18224,378771,D,4/14/12 0:00,7,F,Mobile/Trailer Home
18225,378771,D,4/14/12 0:00,4,F,Mobile/Trailer Home
18226,378771,D,4/14/12 0:00,24,M,Mobile/Trailer Home
18227,378771,D,4/14/12 0:00,63,M,Mobile/Trailer Home
18228,378771,D,4/14/12 0:00,41,M,Outside/Open Areas
18229,378771,D,4/14/12 0:00,10,F,Outside/Open Areas
18509,379209,D,6/24/12 0:00,32,F,Permanent Home
18175,379588,D,4/23/12 0:00,,F,Under Tree
18177,379745,D,6/23/12 0:00,60,M,Vehicle/Towed Trailer
18190,379838,D,6/23/12 0:00,16,M,Outside/Open Areas
18207,380146,D,6/26/12 0:00,33,M,In Water
18234,380280,D,6/29/12 0:00,31,M,Outside/Open Areas
18243,380749,D,6/27/12 0:00,48,M,Outside/Open Areas
18514,380875,D,6/30/12 0:00,33,M,Outside/Open Areas
18241,380889,I,6/17/12 0:00,66,M,In Water
18240,380890,I,6/17/12 0:00,14,M,In Water
18245,381394,D,7/6/12 0:00,54,M,Outside/Open Areas
18866,381670,D,7/7/12 0:00,68,M,Outside/Open Areas
18447,381738,D,6/21/12 0:00,81,M,Unknown
18291,382513,D,7/1/12 0:00,,M,Vehicle/Towed Trailer
18292,382513,D,7/1/12 0:00,,F,Vehicle/Towed Trailer
18251,382533,D,7/1/12 0:00,77,M,Other
18252,382714,D,5/29/12 0:00,87,M,Outside/Open Areas
18260,382725,I,5/16/12 0:00,65,M,Permanent Home
18255,382794,D,5/28/12 0:00,81,M,Permanent Home
18256,382807,D,5/27/12 0:00,17,M,In Water
18257,382819,D,5/29/12 0:00,24,M,In Water
18259,383097,D,4/29/12 0:00,43,F,Vehicle/Towed Trailer
18261,383296,D,5/6/12 0:00,29,M,In Water
18263,383320,D,5/6/12 0:00,,M,In Water
18266,383393,D,7/15/12 0:00,26,M,Under Tree
18267,383393,D,7/15/12 0:00,27,M,Under Tree
18270,383620,D,6/20/12 0:00,50,M,In Water
18275,383636,D,7/6/12 0:00,56,M,Permanent Home
18276,383636,D,7/8/12 0:00,88,F,Permanent Home
18277,383661,D,6/19/12 0:00,44,M,Outside/Open Areas
18278,383852,D,7/13/12 0:00,61,M,Outside/Open Areas
18859,384229,I,7/19/12 0:00,19,F,Unknown
18860,384229,I,7/19/12 0:00,83,M,Unknown
18287,384508,D,6/4/12 0:00,70,M,Mobile/Trailer Home
18288,384508,D,6/4/12 0:00,50,M,Mobile/Trailer Home
18289,384508,D,6/4/12 0:00,48,M,Mobile/Trailer Home
18301,384797,D,5/13/12 0:00,53,M,In Water
18294,385546,D,5/18/12 0:00,86,M,Unknown
18296,385566,D,5/1/12 0:00,21,M,Vehicle/Towed Trailer
18351,385908,D,6/26/12 0:00,74,M,Permanent Home
18352,385908,D,6/26/12 0:00,73,F,Permanent Home
