EPISODE_ID,EVENT_ID,RANGE,LOCATION,LATITUDE,LONGITUDE
73483,444306,5.36,PROVIDENCE,33.33,-80.59
73483,444306,5.95,PROVIDENCE,33.3179,-80.5814
73483,444307,5.36,PROVIDENCE,33.33,-80.59
73483,444307,6.3,WELLS,33.3082,-80.5604
73483,444309,3.1,BOWMAN,33.38,-80.64
73483,444309,5.91,WELLS,33.3133,-80.5566
73484,444308,0.48,MUSCLE SHOALS,34.7434,-87.6674
73484,444308,0.27,MUSCLE SHOALS,34.7464,-87.6681
73484,444308,0.36,MUSCLE SHOALS,34.7458,-87.6662
73484,444308,0.52,MUSCLE SHOALS,34.7431,-87.6663
73484,444313,0.62,VALDOSTA,34.7187,-87.7093
73484,444313,0.62,VALDOSTA,34.7193,-87.709
73484,444313,0.67,VALDOSTA,34.7185,-87.7084
73484,444313,0.63,VALDOSTA,34.7184,-87.7092
73484,459667,0,MUSCLE SHOALS,34.75,-87.67
73484,459670,0.57,HOBGOOD SIDING,34.72,-87.64
73484,459672,5,TUSCUMBIA,34.6631,-87.7337
73484,459673,1.49,SHEFFIELD,34.75,-87.71
73484,459674,1.33,NORALA JCT,34.73,-87.67
73484,459675,0.69,MUSCLE SHOALS,34.74,-87.67
73484,459675,0.64,MUSCLE SHOALS,34.741,-87.6673
73484,459675,0.72,MUSCLE SHOALS,34.7399,-87.6668
73484,459675,0.73,MUSCLE SHOALS,34.7395,-87.6685
73484,459709,2,FLORENCE,34.8111,-87.6374
73484,459711,1,FLORENCE,34.8134,-87.6768
73484,459713,2,CHEROKEE,34.779,-87.97
73484,459715,1.13,JACKSONBURG,34.88,-87.69
73484,459716,5,FLORENCE,34.8724,-87.67
73484,459716,0.45,JACKSONBURG,34.8735,-87.6688
73484,459716,0.53,JACKSONBURG,34.8726,-87.6678
73484,459716,0.56,JACKSONBURG,34.8719,-87.669
73485,444314,6.61,STOCKTON,34.21,-80.49
73485,444314,8.01,STOCKTON,34.1973,-80.452
73485,444314,8.58,CAMDEN WOODWARD ARPT,34.2122,-80.4442
73485,444314,7.18,CAMDEN WOODWARD ARPT,34.2169,-80.4701
73485,444315,5.1,CAMDEN,34.2169,-80.5202
73485,444315,4.98,CAMDEN WOODWARD ARPT,34.2213,-80.5195
73485,444315,4.22,CAMDEN,34.2215,-80.5346
73485,444315,4.4,CAMDEN,34.2177,-80.5337
73487,444413,2.64,MAIZE,37.74,-97.44
73487,444414,5.15,(AAO) JABARA ARPT,37.7,-97.15
73487,444415,0.88,HUTCHINSON,38.06,-97.93
73487,444416,0.69,BEAUMONT,37.66,-96.53
73487,444417,2.3,DERBY,37.54,-97.31
73487,444418,0.55,HOWARD,37.47,-96.26
73491,444421,0,CHAUTAUQUA,37.02,-96.18
73491,444422,0,SEDAN,37.13,-96.18
73491,444423,0,SEDAN,37.13,-96.18
73491,444424,0.55,EUREKA,37.82,-96.29
73491,444425,0.55,INDEPENDENCE,37.23,-95.71
73491,444426,0.55,ARKANSAS CITY,37.07,-97.04
73491,444427,1.38,ELLINWOOD,38.33,-98.58
73491,444428,0.88,STERLING,38.21,-98.21
73491,444429,5.12,LORRAINE,38.62,-98.25
73491,444430,0.69,ELLSWORTH,38.74,-98.23
73491,444431,2.55,LINCOLN,39.01,-98.19
73491,444432,0,CHAUTAUQUA,37.02,-96.18
73491,444433,2.14,EUREKA ARPT,37.88,-96.29
73491,444434,4.18,HAMILTON,38.04,-96.16
73491,444435,0.88,THAYER,37.49,-95.47
73492,444439,1.81,NARANJOS,36.16,-105.01
73492,444440,0.89,PENDARIES,35.82,-105.41
73492,444441,5.78,LOGAN,35.45,-103.38
73492,444442,3.5,PORTER,35.26,-103.32
73492,444443,0,PORTER,35.21,-103.31
73492,444444,3.14,PORTER,35.19,-103.26
73492,444445,0.89,BARD,35.13,-103.25
73492,444446,1.83,BARD,35.13,-103.21
73492,444447,0.69,TEXICO,34.39,-103.05
73492,444448,0.57,(CVS)CANNON AFB,34.38,-103.31
73492,444449,3.14,PORTER,35.19,-103.26
73492,444450,1.33,FT SUMNER,34.48,-104.22
73492,444451,0.9,(CVS)CANNON AFB,34.39,-103.31
73492,444452,0.69,TEXICO,34.39,-103.05
73492,444453,4.87,ACME,33.65,-104.32
73492,444454,3.5,RANCHVALE,34.45,-103.31
73492,444455,0.57,(CVN)CLOVIS MUNI AIRPORT,34.43,-103.07
73492,444456,1.85,DORA,33.92,-103.36
73492,444457,4.09,MILNESAND,33.65,-103.27
73492,444458,3.98,FLOYD,34.18,-103.63
73492,444471,10,(TCC)TUCUMCARI ARPT,35.1246,-103.4365
73492,444948,8.4,PORTALES,34.1335,-103.1943
73493,444470,2,FRIONA,34.6505,-102.7051
73493,444872,0,FRIONA,34.63,-102.73
73493,444873,0,FARWELL,34.38,-103.03
73493,444875,2,MULESHOE,34.1933,-102.7434
73493,444876,3,SPRINGLAKE,34.23,-102.3525
73493,444877,6,OLTON,34.0932,-102.13
73493,444878,3,PLAINS,33.2234,-102.83
73493,444879,7,DENVER CITY,33.0088,-102.9616
73493,444941,1,MORTON,33.7255,-102.7539
73493,444942,4,LEVELLAND,33.5221,-102.37
73493,444943,6,ANTON,33.7398,-102.21
73493,444944,6,ANTON,33.7398,-102.21
73493,444945,0.9,REESE VLG,33.59,-102.03
73493,444946,0.9,REESE VLG,33.59,-102.03
73493,444947,6,WOLFFORTH,33.4198,-102.0598
73493,445001,4.03,(LBB)LUBBOCK INTL AR,33.64,-101.88
73493,445001,3.5,LUBBOCK,33.53,-101.86
73493,445002,3.5,POSEY,33.53,-101.69
73493,445002,0.77,SLATON,33.4304,-101.6366
73493,445003,3,TAHOKA,33.2201,-101.7601
73493,445004,8.57,JUSTICEBURG,33.07,-101.06
73493,445005,6.23,KALGARY,33.48,-101.1
73493,445006,4,ROPESVILLE,33.4609,-102.1009
73493,445837,0,LORENZO,33.67,-101.53
73494,444472,0,CANTON,44.6,-75.17
73494,444473,0,LAKE PLACID,44.28,-73.98
73494,444474,0.69,PAUL SMITHS,44.44,-74.25
73495,444475,0,JERICHO,44.5,-73
73495,444476,2.3,RICHMOND,44.43,-72.98
73496,444477,0,LAKE PLACID,44.28,-73.98
73496,444478,2.4,INGRAHAM,44.78,-73.39
73496,444479,0.69,MORRISTOWN,44.59,-75.65
73496,444480,0,CANTON,44.6,-75.17
73496,444481,0,LISBON,44.73,-75.32
73496,444482,0.49,NORFOLK,44.8,-74.99
73496,444483,0,POTSDAM,44.67,-74.98
73496,444484,0.69,COLTON,44.56,-74.93
73496,444485,2.02,CHATEAUGAY,44.94,-74.1
73585,460311,1.78,CHESTERBROOK,40.0799,-75.4811
73504,444743,0.32,ELDON,38.3485,-92.5743
73504,444743,0.88,ELDON,38.3502,-92.5639
73504,444743,1,ELDON,38.3501,-92.5615
73504,444744,0,STOCKTON,37.7,-93.8
73504,444744,0.08,STOCKTON,37.701,-93.8009
73504,444744,0.29,STOCKTON,37.7011,-93.7948
73504,444744,0.35,STOCKTON,37.7001,-93.7936
73504,444745,3.62,GRAVOIS MILLS,38.37,-92.84
73504,444745,3.48,GRAVOIS MILLS,38.3685,-92.8374
73504,444745,3.51,GRAVOIS MILLS,38.3695,-92.8347
73504,444745,3.71,GRAVOIS MILLS,38.3717,-92.8388
73504,444746,2.65,MULROY,37.22,-93.14
73504,444746,2.77,SPRINGFIELD BAR H AR,37.22,-93.1342
73504,444746,2.74,MULROY,37.2224,-93.1343
73504,444746,2.59,MULROY,37.2225,-93.1381
73504,444747,1.49,ELWOOD,37.21,-93.42
73504,444747,1.41,ELWOOD,37.21,-93.4252
73504,444747,1.18,ELWOOD,37.2136,-93.4238
73504,444747,1.26,ELWOOD,37.2136,-93.4201
73504,444748,0.82,WALNUT GROVE,37.411,-93.5596
73504,444748,0.75,WALNUT GROVE,37.4124,-93.5598
73504,444748,0.64,WALNUT GROVE,37.4123,-93.5566
73504,444748,0.7,WALNUT GROVE,37.4111,-93.5562
73504,444749,1.58,HARTVILLE,37.2563,-92.4925
73504,444749,1.4,HARTVILLE,37.2537,-92.4949
73504,444749,1.14,HARTVILLE,37.2555,-92.5004
73504,444749,1.5,HARTVILLE,37.2591,-92.4953
73504,444750,1.62,MUMFORD,37.162,-93.2011
73504,444750,1.55,CHERRY VLY ESTATES,37.1617,-93.1963
73504,444750,1.8,SEQUIOTA,37.1572,-93.1986
73504,444750,1.67,SEQUIOTA,37.1564,-93.2007
73504,444751,2.26,LEBANON,37.6582,-92.7008
73504,444751,2.32,LEBANON,37.6554,-92.6989
73504,444751,2.47,LEBANON,37.6547,-92.7019
73504,444751,2.37,LEBANON,37.6578,-92.703
73504,444752,2.75,BATTLEFIELD,37.12,-93.33
73504,444753,0.69,HALLTOWN,37.19,-93.63
73504,444754,1.1,STOTTS CITY,37.1,-93.95
73504,444755,0.55,HARTVILLE,37.25,-92.51
73504,444756,0.93,MARSHFIELD,37.3186,-92.911
73504,444756,1.01,MARSHFIELD,37.3167,-92.9126
73504,444756,0.86,MARSHFIELD,37.3184,-92.9145
73504,444756,0.82,MARSHFIELD,37.3197,-92.9126
73504,444758,2.76,STOTTS CITY,37.1356,-93.9475
73504,444758,2.88,PHELPS,37.1426,-93.9431
73504,444758,2.86,RESCUE,37.1461,-93.9502
73504,444758,2.72,STOTTS CITY,37.1376,-93.9555
73504,444784,0.7,JASPER,37.3325,-94.3324
73504,444784,1.9,JASPER,37.3339,-94.3542
73504,444784,2.96,JASPER,37.309,-94.3671
73504,444784,2.43,JASPER,37.3096,-94.3561
73504,444785,0.88,GRAVOIS MILLS,38.31,-92.83
73504,444786,0.88,GRAVOIS MILLS,38.31,-92.83
73504,444787,0.55,JOPLIN,37.08,-94.51
73504,444787,0.68,JOPLIN,37.0798,-94.5077
73504,444787,0.69,JOPLIN,37.0793,-94.5076
73504,444787,0.57,JOPLIN,37.0794,-94.5096
73504,444788,0.88,GRAVOIS MILLS,38.31,-92.83
73504,444789,2.63,MORA,38.49,-93.25
73504,444790,7.18,ZWANZIG,38.31,-93.06
73504,444791,2.76,STOCKTON,37.74,-93.8
73504,444792,1.29,CAPLINGER MILLS,37.79,-93.8
73504,444793,0.69,URBANA,37.84,-93.17
73504,444794,3.09,WHITE CHURCH,36.87,-91.73
73504,444795,1.29,EDGAR SPGS,37.69,-91.85
73504,444796,0.55,OLDEN,36.87,-91.91
73504,444797,0.69,MARVIN,38.43,-92.77
73504,444798,0.69,LINCOLN,38.39,-93.33
73504,444799,0.69,FLORENCE,38.59,-92.98
73504,444800,0,ELKTON,37.85,-93.43
73504,444801,1.09,ELDRIDGE,37.83,-92.75
73504,444802,1.1,MIDWAY,37.03,-92.58
73504,444803,2.3,BURNS,37.61,-93.36
73504,444804,0.54,TUSCUMBIA,38.23,-92.46
73504,444805,2.15,SENECA,36.88,-94.59
73504,444806,0.69,URBANA,37.84,-93.17
73505,448096,9.83,THROCKMORTON,33.18,-99.35
73505,448100,9.83,THROCKMORTON,33.18,-99.35
73505,448119,1.16,ELBERT,33.27,-98.98
73505,448123,0.58,ELBERT,33.27,-98.99
73505,448129,1.5,ROSCOE,32.45,-100.54
73505,448131,0,ROTAN,32.85,-100.47
73505,448132,0,ROTAN,32.85,-100.47
73505,448138,1.5,POTOSI,32.34,-99.68
73506,447361,0.89,LAKE TOXAWAY,35.1391,-82.9611
73506,447362,1.49,SHERRILLS FORD,35.64,-80.99
73506,447367,0,MAIDEN,35.58,-81.22
73506,447371,0.92,STATESVILLE ARPT,35.758,-80.977
73506,447374,1.12,MARION,35.68,-82
73507,444498,0.53,BROWNVILLE,40.4,-95.66
73507,444499,1.58,PLYMOUTH,40.3,-96.95
73507,444500,0,DE WITT,40.4,-96.92
73507,444501,2.14,HOLLAM,40.56,-96.77
73507,444629,2.61,NEMAHA,40.36,-95.7
73507,444630,2.61,BROWNVILLE,40.37,-95.68
73507,444631,3.7,THOMPSON,40.07,-97.18
73507,444632,0.53,PLYMOUTH,40.3,-96.99
73508,444526,4.03,HAMILTON,31.74,-98.17
73508,444527,0,HAMILTON,31.7,-98.12
73508,444528,0,MOFFAT,31.2,-97.47
73508,444529,1.59,TEMPLE,31.1224,-97.3437
73508,444530,2.06,MIDWAY,31.0844,-97.3856
73508,444531,2.06,TEMPLE,31.1224,-97.3269
73508,444532,0,WESTPHALIA,31.12,-97.12
73508,445136,2.61,BLACKFOOT,31.9569,-95.8612
73508,445136,1.45,BLACKFOOT,31.9478,-95.8169
73508,445136,3.42,TENNESSEE COLONY,31.8788,-95.8406
73508,445136,3.04,BETHEL,31.9091,-95.8798
73508,445570,0.69,SILVER CITY,30.89,-96.95
73509,444533,1,LAMPASAS ARPT,31.1145,-98.2
73509,445396,3.78,SIMMONSVILLE,31.0714,-97.7546
73510,444535,2.07,SADLER,33.71,-96.85
73511,444536,1.3,FROST,32.0872,-96.8405
73511,444537,0,FROST,32.08,-96.82
73511,444538,1.21,ALLIANCE HALL,31.986,-96.6715
73511,444539,1,TEAGUE,31.62,-96.297
73511,444540,1.66,BUFFALO,31.4691,-96.0981
73512,444541,1.95,TIOGA,48.38,-102.9
73512,444542,4.15,SOUTH PRAIRIE,47.99,-101.3
73512,444543,0.84,(JMS)JAMESTOWN MUNI,46.94,-98.69
73568,451773,0,ATHENS,32.2,-95.85
72684,439699,0,KILLBUCK,40.5,-81.98
72684,439706,0,NEW WASHINGTON,40.97,-82.85
72685,438577,0,FAIR GROVE,37.38,-93.15
72686,438578,1.71,NORTH VIEW HILL,37.3159,-92.9962
72686,438578,1.94,NORTH VIEW HILL,37.3161,-92.991
72686,438578,1.97,NORTH VIEW HILL,37.3178,-92.9919
72686,438578,1.81,NORTH VIEW HILL,37.3176,-92.9957
72686,438579,0.88,ANN,37.04,-92.19
72686,438579,0.73,ANN,37.0383,-92.1919
72686,438579,0.82,ANN,37.0379,-92.189
72686,438579,0.93,ANN,37.0393,-92.1878
72686,438580,4.24,MANSFIELD,37.1663,-92.5294
72686,438580,4.29,MANSFIELD,37.1664,-92.5283
72686,438580,4.21,MANSFIELD,37.1653,-92.5288
72686,438580,4.19,MANSFIELD,37.1656,-92.5299
72686,438581,1.74,MINGSVILLE,37.4289,-92.3974
72686,438581,1.9,MINGSVILLE,37.4264,-92.3976
72686,438581,1.98,MINGSVILLE,37.4276,-92.4023
72686,438581,1.85,MINGSVILLE,37.4289,-92.4007
72686,438582,1.49,BOSTON,37.4,-94.31
72686,438582,1.77,BOSTON,37.397,-94.3142
72686,438582,1.61,BOSTON,37.3973,-94.3066
72686,438582,1.43,BOSTON,37.3998,-94.306
72686,438583,1.79,FAIR GROVE,37.39,-93.18
72686,438583,1.79,FAIR GROVE,37.3867,-93.1814
72686,438583,2.1,FAIR GROVE,37.3876,-93.1871
72686,438583,2.09,FAIR GROVE,37.3912,-93.1854
72686,438584,1.31,LEOTA,36.52,-92.01
72686,438584,1.25,LEOTA,36.5184,-92.0127
72686,438584,1.1,LEOTA,36.5218,-92.013
72686,438584,1.22,LEOTA,36.523,-92.0098
72686,438585,3.89,PRESCOTT,37.46,-91.99
72686,438585,3.74,PRESCOTT,37.458,-91.9883
72686,438585,3.65,PRESCOTT,37.4599,-91.9848
72686,438585,3.88,PRESCOTT,37.4621,-91.988
72686,438586,2.82,ST GEORGE,37.34,-92.44
72686,438586,3.1,ST GEORGE,37.3357,-92.4409
72686,438586,3.08,ST GEORGE,37.337,-92.4351
72686,438586,2.88,ST GEORGE,37.3402,-92.4346
72691,438715,10.26,DURMID,33.308,-115.9313
72697,439801,0,ROCHESTER,37.22,-86.9
72697,439801,0.71,ROCHESTER,37.2103,-86.896
72697,439801,0.82,ROCHESTER,37.2139,-86.8874
72697,439801,0.38,ROCHESTER,37.22,-86.893
72697,439802,0.86,WOODBURY,37.1864,-86.6366
72697,439802,1.31,WOODBURY,37.1887,-86.6289
72697,439802,1.41,WOODBURY,37.1834,-86.6248
72697,439802,0.83,WOODBURY,37.1817,-86.6351
72702,438660,4.94,PARADISE,39.0867,-99.0014
72702,438660,4.46,PARADISE,39.0911,-98.9944
72703,438661,0.79,CATON FARM,41.5799,-88.2577
72703,438661,0.85,CATON FARM,41.5816,-88.2559
72703,438661,0.69,CATON FARM,41.579,-88.2556
72703,438661,0.7,CATON FARM,41.5784,-88.2574
72703,438662,0.16,COLONIAL GARDENS,42.3519,-89.0483
72703,438662,0.22,COLONIAL GARDENS,42.3515,-89.0462
72703,438662,0.69,COLONIAL GARDENS,42.3402,-89.0521
72703,438662,0.7,COLONIAL GARDENS,42.3402,-89.0534
72706,438696,0,HOT SPGS,34.5,-93.05
72710,441870,0.69,ERIE,41.66,-90.08
72710,441872,0.52,GALVA,41.17,-90.04
72711,441875,2.31,CEDAR RAPIDS,41.97,-91.67
72711,441876,0.86,CEDAR RAPIDS,42.01,-91.64
72711,441877,2.31,CEDAR RAPIDS,41.97,-91.67
72711,441878,0.69,BELLE PLAINE,41.89,-92.28
72711,441879,2.07,SOUTH GARRY OWEN,42.25,-90.83
72712,441881,2.96,PANORAMA PARK,41.5885,-90.4949
72713,441884,0.69,STERLING ARPT,41.74,-89.68
72714,445232,0.52,WASHINGTON,41.3,-91.69
72714,445233,1.04,FAIRFIELD,41,-92
72714,445234,0.86,LOWDEN,41.86,-90.92
72714,445236,4.17,NOBLE,41.21,-91.69
72714,445237,5.26,WEST CHESTER,41.26,-91.79
72714,445240,1.04,PLEASANT PLAIN,41.15,-91.86
72714,445241,0.86,TIFFIN,41.71,-91.68
72714,445243,1.38,NORTH LIBERTY,41.73,-91.62
72714,445244,0.86,IOWA CITY,41.66,-91.54
72714,445246,0,CONESVILLE,41.38,-91.35
72714,445248,0.87,FAIRFIELD,41.01,-91.97
72714,445287,0.69,RICHLAND,41.19,-92
72714,446753,6.73,SWISHER,41.86,-91.83
72714,446753,7.87,SOLON,41.86,-91.37
72714,446753,5.18,LONE TREE,41.42,-91.37
72714,446753,4.89,LONE TREE,41.42,-91.48
72714,446753,2.68,RIVER JCT,41.51,-91.55
72714,446753,2.93,AMISH,41.51,-91.83
72714,446760,6.33,WELLMAN,41.51,-91.94
72714,446760,5.38,RIVERSIDE,41.51,-91.504
72714,446760,7.16,RIVERSIDE,41.4237,-91.4839
72714,446760,5.2,CRAWFORDSVILLE,41.1624,-91.4857
72714,446760,1.39,CLAY,41.1636,-91.9456
72714,446762,5.9,MECHANICSVILLE,41.9474,-91.3656
72714,446762,2.43,MASSILLON,41.9462,-90.8985
72714,446762,1.06,DURANT,41.597,-90.8999
72714,446762,1.72,DOWNEY,41.5984,-91.3664
72714,446766,9.53,MONTICELLO,42.2963,-91.3634
72714,446766,6.12,TEMPLE HILL,42.2945,-90.8981
72714,446766,2.3,OXFORD MILLS,41.9462,-90.8987
72714,446766,5.02,MARTELLE,41.9474,-91.3656
72714,446771,2.54,SELMA,40.8995,-92.179
72714,446771,2.7,MORRIS PARK,40.9009,-91.7183
72714,446771,2.78,INDIAN LAKE PARK,40.5986,-91.717
72714,446771,1.58,INDIAN LAKE PARK,40.6136,-91.7292
72714,446771,4.84,MILTON,40.6004,-92.1798
72714,446775,1.32,WALKER,42.299,-91.8309
72714,446775,5.39,PRAIRIEBURG,42.2959,-91.3637
72714,446775,4.19,LISBON,41.8601,-91.3668
72714,446775,4.81,FAIRFAX,41.8618,-91.8313
72715,446559,1.38,YOUNGSTOWN,40.65,-90.62
72715,446560,0.51,FULTON,41.87,-90.16
72715,446561,0,NEW BOSTON,41.17,-91
72715,446562,3.12,ALPHA,41.2,-90.44
72715,446563,0.69,KEWANEE,41.24,-89.93
72715,446564,0.53,BOWEN,40.23,-91.06
72715,446565,0.53,BOWEN,40.23,-91.06
72715,446566,1.05,FANDON,40.37,-90.79
72715,446567,2.14,COLCHESTER,40.4,-90.79
72715,446568,2.14,COLMAR,40.32,-90.91
72934,440349,1.5,AYRES,33.7,-86.69
73585,460311,0.92,THORNDALE,39.9774,-75.713
73585,460311,1.78,DOWNINGTOWN,40.0282,-75.7319
73585,465546,1.77,ROXBOROUGH,40.0681,-75.2537
73585,465546,1.91,PHILADELPHIA,39.9305,-75.1445
73585,465546,0.46,TORRESDALE,40.0475,-75.008
73585,465546,1.7,BUSTLETON,40.0894,-75.0597
73585,465551,0.64,BROOKHAVEN,39.8607,-75.4
73585,465551,0.61,VILLAGE GREEN,39.87,-75.4185
73585,465551,0.76,FLORIDA PARK,39.9758,-75.4433
73585,465551,0.11,FLORIDA PARK,39.9815,-75.4292
73585,465563,0.85,LANGHORNE,40.1823,-74.95
73585,465563,0.63,LANGHORNE,40.1665,-74.961
73585,465563,0.69,TELFORD,40.3397,-75.3271
73585,465563,1.36,PERKASIE PENRIDGE AR,40.3915,-75.2591
73585,465568,0.47,FT WASHINGTON,40.1326,-75.2118
73585,465568,0.64,ORELAND,40.1135,-75.2086
73585,465568,0.24,PLYMOUTH VLY,40.1311,-75.3243
73585,465568,1.36,LIMERICK CENTER,40.2497,-75.5324
73585,465568,0.68,HENDRICKS,40.2921,-75.4623
73586,460308,0,GEORGETOWN ARPT,38.68,-75.37
73586,460312,0,COOCHS BRIDGE,39.63,-75.73
73586,460312,2.16,COOCH,39.6464,-75.7703
73586,460312,1.22,NEWARK,39.6628,-75.7554
73586,460312,0.59,COOCH,39.6462,-75.7202
73586,460312,1.64,BEAR,39.6375,-75.6992
73586,460312,1.59,COOCHS BRIDGE,39.6245,-75.701
73587,465515,2.03,LAMINGTON,40.6429,-74.7348
73587,465515,1.61,GREEN BROOK,40.6035,-74.4483
73587,465515,0.99,SUNSET HILL GARDEN,40.4245,-74.5974
73587,465515,2.33,MONTGOMERY,40.4488,-74.753
73587,465530,0.6,CAMDEN,39.922,-75.1157
73587,465530,1.11,WOODCREST,39.8914,-75.0052
73587,465530,1.65,CHERRY HILL,39.92,-74.9889
73587,465530,0.65,PAVONIA,39.9464,-75.0913
73587,465537,1,MT HOLLY,39.9855,-74.7786
73587,465537,0.22,NEW LISBON,39.9494,-74.646
73587,465537,1.49,NEW LISBON,39.9703,-74.6404
73587,465537,0.54,UNIONVILLE,39.998,-74.7599
73587,465592,0.72,EVANSVILLE,39.9598,-74.7479
73587,465592,0.59,MAGNOLIA,39.9545,-74.6796
73587,465592,0.47,SOUTH PEMBERTON,39.9758,-74.6755
73587,465592,0.31,EWANSVILLE,39.984,-74.7328
73587,465603,0.65,MONMOUTH CO ARPT,40.1872,-74.1122
73587,465603,0.34,GLENDOLA,40.1846,-74.0781
73587,465603,1.27,ALLENWOOD,40.1456,-74.0874
73587,465603,1.46,NEW BEDFORD,40.1534,-74.1172
73590,445198,2.5,RINDAL,47.53,-96.16
73590,445199,0.69,FLAMING,47.46,-96.27
73590,445200,6.69,TAMARAC REFUGE,47.05,-95.54
73590,445201,5.85,PINE PT AGENCY,47.05,-95.45
73590,445202,0.69,LENGBY,47.53,-95.63
73594,446279,3.63,LUMPKIN,34.4153,-83.9979
73594,446279,2.77,LUMPKIN,34.34,-83.9979
73594,446279,1.89,SILVER CITY,34.34,-84.0891
73594,446279,1.14,EMMA,34.4153,-84.0891
73594,447019,4.88,FLOWERY BRANCH,34.1595,-84.0117
73594,447019,1.98,OAKWOOD,34.2471,-83.9078
73594,447019,1.96,CHESTNUT MOUNTAIN,34.198,-83.8353
73594,447019,1.53,ROBERTS XRDS,34.12,-83.9061
73594,447037,1.85,BIG CREEK,34.13,-84.15
73594,447037,3.7,CUMMING MATHIS ARPT,34.12,-84.11
73594,447037,3.98,CUMMING MATHIS ARPT,34.06,-84.12
73594,447037,2.07,CUMMING MATHIS ARPT,34.07,-84.17
73594,447038,1.5,DREW,34.18,-84.23
73594,447038,0.9,MARS HILL CROSSROADS,34.16,-84.19
73594,447038,2.2,BIG CREEK,34.1,-84.21
73594,447038,2.94,BIG CREEK,34.11,-84.23
73594,447039,4.48,SUGAR HILL,34.15,-84.08
73594,447039,1.5,BUFORD,34.14,-84.01
73594,447039,1.38,SUWANEE,34.07,-84.07
73594,447039,2.67,SUWANEE,34.07,-84.11
73594,447285,1.61,ROSWELL,33.9968,-84.3681
73594,447285,2.14,NEWTOWN,34.1008,-84.2465
73594,447285,1.29,WARSAW,34.004,-84.2116
73594,447285,3.12,WARSAW,33.9999,-84.2488
73594,447294,0.9,CAROLINA,34.04,-84.09
73594,447294,1.72,LAWRENCEVILLE ARPT,33.98,-83.94
73594,447294,1.86,SNELLVILLE,33.84,-84.05
73594,447294,2.39,DULUTH,33.99,-84.19
73594,448265,1.14,DUCK CREEK,34.58,-85.39
73594,448265,1.33,BEATUM,34.58,-85.13
73594,448265,0.9,ZULA,34.44,-85.19
73594,448265,0.9,BERRYTON,34.44,-85.39
73594,448275,0.73,HIGH PT,34.8606,-85.3758
73594,448275,0.69,CHICKAMAUGA,34.8606,-85.3042
73594,448275,1.98,POND SPG,34.7917,-85.3143
73594,448275,0.81,CASSANDRA,34.7917,-85.4001
73594,448288,1.99,ADAIRSVILLE,34.3814,-84.9819
73594,448288,3.04,FOLSOM,34.3814,-84.8833
73594,448288,3.45,GRASSDALE,34.3101,-84.8159
73594,448288,0.76,HALLS,34.3101,-84.9353
73594,448424,1.03,GARDEN LAKES,34.2863,-85.2136
73594,448424,2.36,FORRESTVILLE,34.2863,-85.1136
73594,448424,2.19,LAVENDER,34.2101,-85.1136
73594,448424,2.36,ROSEMONT PARK,34.2101,-85.2136
73594,448446,0.52,ROCKMART,34.0034,-85.042
73594,448446,1.37,POSCO,34.0779,-85.042
73594,448446,3.38,IRON STAB,34.0779,-84.9422
73594,448446,0.26,DON,34.0034,-85.0019
73594,448462,3.19,LITHIA SPGS,33.8,-84.7
73594,448462,1.38,LITHIA SPGS,33.8,-84.65
73594,448462,2.07,LITHIA SPGS,33.75,-84.65
73594,448462,0,MIDWAY,33.75,-84.7
73594,448472,2.01,ROCKY FACE,34.802,-84.9946
73594,448472,1.99,GORDON SPGS,34.802,-84.9782
73594,448472,2.37,GORDON SPGS,34.7963,-84.9782
73594,448472,2.02,ROCKY FACE,34.7963,-84.9946
73594,448488,2.03,COLE CITY,34.976,-85.5866
73594,448488,0.92,WILDWOOD,34.976,-85.3855
73594,448488,0.77,WEST BROW,34.9269,-85.4308
73594,448488,1.85,COLE CITY,34.9269,-85.5866
73594,448500,0.69,WILDWOOD,34.98,-85.4
73594,448500,1.33,WILDWOOD,34.98,-85.38
73594,448500,1.14,RISING FAWN,34.75,-85.5
73594,448500,1.7,RISING FAWN,34.75,-85.55
73594,448500,1.38,TRENTON,34.89,-85.5
72788,457001,3.62,CAROLINA,18.3978,-65.9968
73568,451802,0,GAINESVILLE,33.63,-97.15
