EPISODE_ID,EVENT_ID,RANGE,LOCATION,LATITUDE,LONGITUDE
48862,285976,0.57,GILLHAM,34.17,-94.31
48862,285978,2.39,CENTER PT,34.02,-93.89
48862,285979,0,DE QUEEN,34.03,-94.33
48862,285980,0.9,DE QUEEN,34.04,-94.34
48862,285981,0.57,DIAN,33.8,-93.39
48862,285982,0.45,DIAN,33.7943,-93.4037
48862,285982,1.19,DIAN,33.784,-93.3924
48862,285982,0.1,PRESCOTT ARPT,33.8012,-93.369
48862,285982,0.49,PRESCOTT,33.8066,-93.3831
48862,285983,0.67,DE ANN,33.7772,-93.5777
48862,285983,0.75,DE ANN,33.7805,-93.5666
48862,285983,0.49,DE ANN,33.7746,-93.5635
48862,285983,0.34,DE ANN,33.7723,-93.5753
48862,285984,0.4,BLEVINS,33.8746,-93.5842
48862,285984,0.26,BLEVINS,33.8693,-93.5845
48862,285984,0.55,BLEVINS,33.8686,-93.5706
48862,285984,0.57,BLEVINS,33.8738,-93.5711
48862,285985,2.37,ROCKY MOUND,33.7,-93.55
48862,285985,2.05,ROCKY MOUND,33.6941,-93.5509
48862,285985,1.76,ROCKY MOUND,33.694,-93.5405
48862,285985,2.04,ROCKY MOUND,33.6984,-93.5395
48862,285986,0.89,LEWISVILLE,33.3617,-93.5864
48862,285986,0.52,LEWISVILLE ARPT,33.3627,-93.5719
48862,285986,0.51,LEWISVILLE,33.3519,-93.5714
48862,285986,0.37,LEWISVILLE,33.3528,-93.5854
48862,285992,3.86,CROSSROADS,33.68,-93.76
48862,285992,3.27,MC NAB,33.6852,-93.7762
48862,285992,1.97,FULTON,33.6427,-93.7992
48862,285992,1.55,SPRUDEL,33.641,-93.7796
48862,285993,1.34,COMPTON,33.93,-93.82
48863,285967,0.57,BROKEN BOW,34.03,-94.74
48863,285968,0.57,IDABEL,33.9,-94.82
48863,285969,1.72,IDABEL,33.9,-94.8
48863,285970,0.57,IDABEL,33.9,-94.82
48863,285971,0.57,IDABEL,33.9,-94.82
48863,285972,0.57,IDABEL,33.9,-94.82
48863,285973,0,HOCHATOWN,34.2,-94.67
48863,285974,0,HOCHATOWN,34.2,-94.67
48863,285991,2.76,TOM,33.77,-94.57
48864,285987,1.35,ARIZONA,32.79,-92.97
48864,285988,1.35,LISBON,32.79,-92.87
48864,285990,1.35,ARIZONA,32.79,-92.97
48871,286370,0.69,ALBA,37.24,-94.43
48871,286371,0.54,SYRACUSE,38.67,-92.87
48871,286372,0.89,NEOSHO ARPT,36.83,-94.37
48871,286373,7.27,GRAVOIS MILLS ARPT,38.21,-92.93
48871,286374,1.38,DILLON,37.95,-91.72
48871,286375,1.1,ROUND GROVE,37.27,-93.9
48871,286376,0.69,AURORA SPGS,38.32,-92.58
48871,286377,0,NEOSHO,36.87,-94.37
48871,286378,3.08,ELWOOD,37.21,-93.48
48871,286379,0,NEOSHO,36.87,-94.37
48871,286380,2.34,HURRICANE DECK,38.1,-92.82
48871,286381,2.82,CENTER PT,36.88,-94.11
48871,286382,0.55,SPRINGFIELD,37.2,-93.29
48871,286383,3.22,OPAL,36.99,-93.86
48871,286384,2.32,PULASKIFIELD,36.88,-93.98
48871,286385,1.1,STRAFFORD,37.27,-93.14
48871,286386,1.8,MONETT ARPT,36.92,-93.87
48871,286387,0.55,HOLMAN,37.27,-93.06
48871,286388,0.55,HOLMAN,37.27,-93.04
48871,286389,0.88,MARSHFIELD,37.34,-92.91
48871,286391,0.88,MARSHFIELD,37.34,-92.91
48871,286392,0,WEST PLAINS,36.73,-91.85
48871,286393,0.88,MARSHFIELD,37.34,-92.91
48871,286394,1.79,SOUTH GREENFIELD,37.39,-93.82
48871,286395,1.3,NIANGUA JCT,37.39,-92.83
48871,286396,2.76,UNION CITY,36.98,-93.42
48871,286397,0.69,WALNUT GROVE,37.41,-93.55
48871,286398,2.35,NIXA,37.02,-93.32
48871,286400,0.55,OZARK,37.02,-93.21
48871,286401,0.55,OZARK,37.02,-93.21
48871,286402,0.69,VIENNA,38.19,-91.95
48871,286403,1.49,LINDEN,37.07,-93.14
48871,286404,0.88,SUCCESS,37.44,-92.09
48871,286405,2.14,SGF DOWNTOWN ARPT,37.25,-93.22
48871,286406,1.77,NORWOOD,37.1,-92.45
48871,286407,2.35,NORWOOD,37.09,-92.41
48871,286409,1.3,NORWOOD,37.11,-92.41
48871,286410,0.55,ROGERSVILLE,37.12,-93.06
48871,286411,1.77,KIMBERLING CITY,36.62,-93.45
48871,286412,2.15,SILVER DOLLAR CITY,36.7,-93.42
48871,290292,1.79,SPRINGFIELD,37.21,-93.27
48871,290296,1.3,NIXA,37.04,-93.28
48871,290296,1.51,NIXA,37.041,-93.275
48871,290297,0.91,ABADYL,37.0368,-92.9715
48871,290297,1.06,ELKHEAD,37.0353,-92.9507
48871,290298,2.28,KIMBERLING CITY,36.6314,-93.4428
48871,290298,2.06,KIMBERLING CITY,36.6261,-93.412
48871,291604,1.49,WHEATON,36.79,-94.06
48871,291605,0.55,HOLMAN,37.27,-93.04
48871,291606,0.88,PRESCOTT,37.44,-91.92
48871,302175,0.88,MARSHFIELD,37.34,-92.91
48874,286539,0,RUSHVILLE,40.12,-90.57
48874,286540,2,RAY,40.229,-90.47
48874,286542,7,ARMINGTON,40.33,-89.4329
48874,286543,1,EMDEN,40.2855,-89.48
48874,286545,3,SHIRLEY,40.4507,-89.1103
48874,286546,0,BLOOMINGTON,40.48,-88.98
48874,286547,1,NORMAL,40.5345,-89
48874,286548,3,NORMAL,40.5507,-88.9596
48874,286549,0,BLOOMINGTON,40.48,-88.98
48874,286551,3,MATTOON,39.4366,-88.37
48874,286552,0.87,MURRAYVILLE,39.57,-90.24
48874,286553,3,ALTAMONT,39.0393,-88.7895
48874,286554,0,ALTAMONT,39.07,-88.75
48874,286556,0,WATSON,39.02,-88.57
48874,286557,2.07,FLORA,38.7,-88.48
48874,286558,0,WINCHESTER,39.63,-90.47
48874,286559,1,CHARLESTON,39.48,-88.1613
48874,286560,0,BEARDSTOWN,40.02,-90.43
48874,286561,1,DIETERICH,39.0845,-88.37
48874,286562,0,WHEELER,39.05,-88.32
48874,286563,0,MECHANICSBURG,39.82,-89.4
48874,286564,0,FREDERICK,40.07,-90.43
48874,286564,0,BROWNING,40.13,-90.37
48874,286565,0,EMDEN,40.3,-89.48
48874,286566,3,ALTAMONT,39.0393,-88.7105
48877,286088,3.15,ARBAUGH,35.8254,-93.526
48877,286088,1.82,MT JUDEA,35.9365,-93.0447
47541,297021,2.7,ARAB,34.304,-86.4569
47541,297021,2.7,ARAB,34.3023,-86.4579
47541,297021,2.36,ARAB,34.3039,-86.4634
47541,297022,0.95,NORTH ARAB,34.3486,-86.5034
48794,285573,2.7,SEVENMILE FORD,36.8579,-81.6081
48794,285573,2.83,SEVENMILE FORD,36.8592,-81.6053
48794,285573,2.68,SEVENMILE FORD,36.8567,-81.6043
48794,285573,2.62,SEVENMILE FORD,36.8561,-81.6054
48794,285575,0.59,RICHLANDS,37.0917,-81.8224
48794,285575,0.57,RICHLANDS,37.0918,-81.8198
48794,285575,0.61,RICHLANDS,37.0912,-81.8188
48794,285575,0.65,RICHLANDS,37.0906,-81.8208
48794,285577,2.98,BROADFORD,36.9178,-81.6162
48794,285577,3.01,BROADFORD,36.9178,-81.6155
48794,285577,3.06,BROADFORD,36.9154,-81.6149
48794,285577,3.03,BROADFORD,36.9152,-81.6155
48794,285579,0.81,NORTH HOLSTON,36.8957,-81.6863
48794,285579,0.79,NORTH HOLSTON,36.8954,-81.6868
48794,285579,0.98,NORTH HOLSTON,36.8937,-81.6841
48794,285579,0.93,NORTH HOLSTON,36.8947,-81.6845
48794,285580,1.02,BANDY,37.1449,-81.7026
48794,285580,1.17,BANDY,37.1419,-81.7013
48794,285580,1.31,BANDY,37.1422,-81.6982
48794,285580,1.07,BANDY,37.1453,-81.7014
48794,285582,0.22,ADRIA,37.1703,-81.5461
48794,285582,0.26,ADRIA,37.1678,-81.5461
48794,285582,0.34,ADRIA,37.1682,-81.5443
48794,285582,0.36,ADRIA,37.1716,-81.5439
48794,285583,0.69,MC CALL PLACE,37.1843,-81.6114
48794,285583,0.44,MC CALL PLACE,37.183,-81.6071
48794,285583,0.47,MC CALL PLACE,37.1836,-81.6071
48794,285583,0.7,MC CALL PLACE,37.1849,-81.6111
48795,285499,0.25,HANSONVILLE,36.8236,-82.15
48795,285499,0.25,HANSONVILLE,36.82,-82.1455
48795,285499,0.25,HANSONVILLE,36.8164,-82.15
48795,285499,0.25,HANSONVILLE,36.82,-82.1545
48795,285506,1.8,BRISTOL,36.61,-82.17
48795,285506,4,BRISTOL,36.6222,-82.1334
48795,285506,4,BRISTOL,36.6,-82.1279
48795,285506,0,BRISTOL,36.6,-82.2
48795,285539,3,MENDOTA,36.7307,-82.2617
48795,285539,4,MENDOTA,36.7409,-82.2489
48795,285539,3,RUSH CORNER,36.7307,-82.1817
48795,285539,4,MENDOTA,36.7222,-82.2333
48796,285507,4,DOBSON,36.3591,-80.6692
48796,285551,5,TRAPHILL,36.2988,-80.9665
48796,285552,0,ARARAT,36.4,-80.57
48796,285553,0,PILOT MTN,36.38,-80.47
48796,285556,1.78,FOSCOE,36.15,-81.79
48796,285557,2.62,MOORES SPGS,36.41,-80.39
48796,285558,0,FLEETWOOD,36.3,-81.52
48797,285586,0.34,SOUTH SHR PARK,41.68,-83.4134
48797,285586,1.1,SOUTH SHR PARK,41.6855,-83.4001
48797,285688,3.59,LACARNE,41.4781,-83.0453
48797,285688,2.53,CHIMNEY,41.4937,-83.0242
48797,297228,1.64,LA GRANGE MEADOW ARP,41.203,-82.1513
48797,297229,0,GRAFTON,41.28,-82.07
48797,297231,0,FINDLAY,41.03,-83.65
48797,297233,0,AKRON,41.08,-81.5
48797,297235,0,UPPER SANDUSKY,40.83,-83.28
48797,297239,0,MANTUA,41.28,-81.22
48797,297240,0,MADISON,41.77,-81.05
48797,297242,0,YOUNGSTOWN,41.07,-80.65
48797,297244,0,ASHTABULA,41.88,-80.8
48797,297286,0,MAYFIELD,41.53,-81.43
48797,297288,0,EUCLID,41.57,-81.55
48797,297290,0,LEAVITTSBURG,41.25,-80.88
48797,297297,0,MT VERNON,40.4,-82.48
48797,297475,1.42,(FDY)FINDLAY ARPT,41.0406,-83.6818
48797,297475,1.98,FINDLAY,41.028,-83.6121
48797,297478,0,NORTH BALTIMORE,41.18,-83.68
48798,285528,1.98,CAESARS HEAD,35.12,-82.645
48798,285528,0.79,LAKEMONT,35.071,-82.606
48798,285538,1.13,LAKEMONT,35.07,-82.6
48798,285538,0,TAYLORS,34.92,-82.3
48798,285541,2.03,LIMA,35.053,-82.444
48798,285541,2.13,LIMA,35.051,-82.417
48798,285543,0.28,LATHAM,34.82,-82.555
48798,285546,0.6,INMAN MILLS,35.047,-82.09
48798,285546,0,CLIFTON,34.98,-81.82
48798,285549,2.23,MAULDIN,34.812,-82.305
48798,285549,2.13,FIVE FORKS,34.811,-82.265
48798,285550,1.19,MAULDIN,34.77,-82.317
48798,285554,4.13,FORK SHOALS,34.643,-82.233
48798,285555,0.63,FOUNTAIN INN,34.693,-82.193
48798,285559,2.66,FOUNTAIN INN,34.68,-82.16
48798,285560,0.89,BETHANY,35.11,-81.29
48798,285562,3.94,TOXAWAY,34.557,-82.617
48798,285563,1.52,(AND)ANDERSON CO ARP,34.483,-82.703
48798,285564,0.9,IVA,34.31,-82.66
48798,285568,3.94,EKOM,34.457,-82.191
48798,285568,1.45,MADDENS,34.469,-82.039
48798,285571,0,ANTREVILLE,34.3,-82.55
48798,285571,5.27,ABBEYVILLE DAVIS ARP,34.185,-82.268
48798,285574,1.82,HODGES,34.269,-82.279
48798,285574,1.56,DYSON,34.163,-81.904
48798,285576,0.98,WATERLOO,34.345,-82.086
48798,285576,1.61,HARRIS SPGS,34.321,-82.056
48798,285578,1.71,SALUCA,34.23,-82.1
48798,285738,2.84,BLACKSBURG,35.161,-81.502
48798,285738,3.34,BLACKSBURG,35.147,-81.451
48799,285540,1.95,GLENDALE,38.9278,-97.8638
48799,285540,3.53,GLENDALE,38.951,-97.8712
48799,285542,10.59,CAMBRIDGE,37.44,-96.55
48799,285542,12.64,CAMBRIDGE,37.47,-96.5382
48799,285544,2.16,ELGIN,37.02,-96.25
48799,285544,2.65,ELGIN,37.0257,-96.2444
48799,285545,0.88,NEW CAMBRIA,38.87,-97.49
48799,285545,0.61,NEW CAMBRIA,38.8762,-97.4898
48799,285547,10.59,CAMBRIDGE,37.44,-96.55
48799,285547,10.81,CAMBRIDGE,37.4434,-96.5491
48799,303721,0,LORRAINE,38.57,-98.32
48799,303722,1.75,LORRAINE,38.59,-98.34
48799,303724,1.08,MC PHERSON,38.37,-97.65
48799,303725,0.69,ELLSWORTH,38.72,-98.23
48799,303726,0.69,ELLSWORTH,38.74,-98.23
48799,303727,0.69,ATLANTA,37.44,-96.77
48799,303728,3.22,SILVERDALE,37.07,-96.93
48799,303730,7.1,KANOPOLIS,38.82,-98.12
48799,303732,9.87,KANOPOLIS,38.8595,-98.1105
47564,277098,1.95,KAILUA,21.4249,-157.7644
47564,277098,1.94,KAILUA,21.425,-157.7637
47564,277098,1.91,KANEOHE STATION,21.4255,-157.7638
47564,277099,0.84,KOKEE STATE PARK,22.1398,-159.6623
46986,273423,2.02,WALLULA,46.0528,-118.8844
46986,273423,0.33,ZANGER JCT,46.0829,-118.8556
46986,273427,3.98,GLENWOOD,45.9972,-121.2039
46986,273427,9.19,GLENWOOD,46.0161,-121.0886
46986,273427,3.29,WAHKIACUS,45.8194,-121.0117
46986,273427,2.36,LYLE,45.7312,-121.3001
46991,273436,1.39,GIBBON,45.714,-118.3708
46991,273436,1.34,GIBBON,45.6866,-118.3701
46991,273436,7.04,NOLIN,45.6516,-119.2401
46991,273436,2.47,UMATILLA,45.8845,-119.3253
46991,273438,3.22,TROY,45.9034,-117.4487
46991,273438,2.89,TROY,45.9183,-117.4892
46991,273438,3.55,TROY,45.9923,-117.4081
46991,273438,5.22,TROY,45.9918,-117.3594
46991,273440,0,JOHN DAY,44.42,-118.95
46991,273440,8.46,MT VERNON,44.4525,-119.2854
46991,273440,7.89,ALDRICH,44.3986,-119.2923
46991,273440,0.49,CANYON CITY,44.3868,-118.927
46991,273443,4.93,SPRAY,44.8329,-119.6796
46991,273443,7.93,SPRAY,44.7276,-119.707
46991,273443,10.93,MITCHELL,44.7098,-120.2042
46991,273443,7.87,SERVICE CREEK,44.8249,-120.1767
46991,273450,0,POST,44.15,-120.42
46991,273450,2.06,POST,44.1222,-120.4349
46991,273450,0.68,PRINEVILLE RESERVOIR,44.164,-120.5808
46991,273450,1.6,PRINEVILLE RESERVOIR,44.1931,-120.5674
46998,273521,1,LIVONIA,30.5355,-91.55
46998,273522,0,ERWINVILLE,30.53,-91.4
46998,273523,0,JACKSON,30.83,-91.22
46998,273524,0,CLINTON,30.87,-91.03
46998,273526,0,CHIPOLA,30.92,-90.8
46998,273527,1,KENTWOOD,30.9198,-90.5319
46998,273528,0,KILLONA,30,-90.48
46998,273529,5,HAHNVILLE,29.8988,-90.391
46998,273530,0,FRANKLINTON,30.85,-90.15
46999,273525,5,LIBERTY,31.2424,-90.83
47001,273532,0,MISSISSIPPI CANYON OIL PLATFORM 311A (KMDJ),28.64,-89.79
47001,273534,0,LKFRNT ARPT NEW,30.05,-90.03
