EPISODE_ID,EVENT_ID,RANGE,LOCATION,LATITUDE,LONGITUDE
59807,357082,1.09,PETERSBURG,38.5137,-87.2701
59808,357074,3.06,GRAYS RIVER,46.3662,-123.5404
59808,357074,2.64,GRAYS RIVER,46.3765,-123.5601
59808,357074,1.37,GRAYS RIVER,46.3633,-123.6213
59808,357074,2.43,EDEN,46.3109,-123.6985
59808,357074,1.11,EDEN,46.2943,-123.6717
59809,357075,0.57,CHICKAMAUGA,35.07,-85.26
59809,357076,1.33,GLOVER HILL,35.06,-85.63
59811,357148,3.13,ROBERTS,44.9104,-123.1622
59811,357148,4.36,KEIZER,45.0114,-123.1073
59811,357148,2.63,CHEMAWA,44.9901,-122.948
59811,357148,1.55,AUMSVILLE,44.8471,-122.8903
59811,357148,3.41,TURNER,44.8111,-122.9727
59811,357149,0.96,FRY,44.5934,-123.0249
59811,357149,0.79,PIRTLE,44.5885,-123.1495
59811,357149,4.69,DEVER,44.6823,-123.1595
59811,357149,1.54,MILLERSBURG,44.6867,-123.0201
59811,357150,0.65,SCIO,44.6965,-122.8423
59811,357150,1.54,SCIO,44.6954,-122.8607
59811,357150,0.71,WEST SCIO,44.7118,-122.8612
59811,357150,1.1,SCIO,44.7142,-122.8404
59812,357083,0,DUNMOR,37.07,-87
59812,357083,0,GREENVILLE,37.2,-87.18
59824,357228,0,MT STERLING,38.05,-83.95
59824,357229,2,FRENCHBURG,37.9233,-83.616
59824,357230,0,GRASSY CREEK,37.87,-83.35
59824,357232,0,STANTON,37.85,-83.87
59824,357233,5,MC KEE,37.4969,-84.0349
59824,357234,3,BEATTYVILLE,37.5493,-83.7587
59824,357236,0,JACKSON,37.55,-83.38
59824,357237,0,JACKSON,37.55,-83.38
59824,357240,3,CAMP LEWIS,37.6107,-83.1413
59824,357241,0,DOTSON,37.65,-82.87
59824,357242,2,MARTIN,37.5495,-82.7758
59824,357243,1,EMMA,37.63,-82.7017
59824,367563,0.69,RAVENNA,37.69,-83.95
59824,367564,0.88,BARNES MOUNTAIN,37.62,-83.91
59824,367566,0.88,RICE STATION,37.71,-84.06
59865,357431,2.95,HAWAIIAN BEACHES,19.5137,-154.8962
59865,357431,2.34,KALAPANA,19.3463,-155.0157
59865,357432,1.44,HAWAIIAN BEACHES,19.5293,-154.9182
59865,357432,3.34,VOLCANO,19.3739,-155.2148
59865,357433,3.22,VOLCANO,19.4309,-155.1819
59865,357433,2.7,NAALEHU,19.0782,-155.6104
59865,357434,0.63,PRINCEVILLE,22.2116,-159.4762
59865,357434,0.71,PRINCEVILLE,22.2103,-159.4765
59865,357434,0.71,PRINCEVILLE,22.2107,-159.4754
59865,357434,0.66,PRINCEVILLE,22.2114,-159.4755
59865,357435,1.58,KAPAA,22.1028,-159.3205
59865,357435,1.44,KAPAA,22.099,-159.3107
59865,357435,1.32,KAPAA,22.0974,-159.3115
59865,357435,1.52,KAPAA,22.102,-159.3221
59871,357489,2.07,NEW SIGHT,31.62,-90.45
59871,357491,0.91,ROCKPORT,31.79,-90.16
59871,357492,3.59,STRONGHOPE,31.74,-90.22
59871,357492,2,ROCKPORT,31.7769,-90.1905
59871,357493,1.42,MAYBANK,31.4223,-89.404
59871,357493,3.8,MACEDONIA,31.4264,-89.2145
59871,357493,1.25,MC CALLUM,31.2481,-89.2193
59871,357493,4.67,BONHOMIE,31.2716,-89.3985
59871,357494,0.85,(LUL)HESLER FLD LAUR,31.6821,-89.1671
59871,357494,2.02,LAUREL,31.6809,-89.1039
59871,357494,1.76,ERRATA,31.758,-89.0964
59871,357494,1.08,HOY,31.758,-89.1657
59873,357719,0,OZARK,31.44,-85.64
