EPISODE_ID,EVENT_ID,RANGE,LOCATION,LATITUDE,LONGITUDE
35488,205181,9.47,LEON SPGS,29.7375,-98.4926
35529,205443,0.56,VICTORIA,35.17,-85.56
35529,205444,0.89,SOUTH PITTSBURG,35.02,-85.71
35529,205445,0.69,NEW SALEM,35.24,-85.15
35529,205446,1.38,RATHBURN,35.26,-85.17
35529,205453,4.48,MARTIN SPGS,35.23,-85.83
35529,205491,3.46,COMFORT,35.11,-85.69
35529,205492,1.78,WORK,35.26,-85.07
35529,205493,0.89,DUNLAP,35.37,-85.39
35529,205494,1.38,LEES STATION,35.57,-85.25
35529,205495,0,DILL,35.58,-85.2
35529,205496,0.89,HUCKLEBERRY,35.26,-85.21
35537,205511,3.52,WEST EAUGALLIE,28.1481,-80.7341
35538,205513,1.62,MELBOURNE,28.101,-80.612
35538,205514,4.15,SATELLITE BEACH,28.23,-80.598
35545,205556,2.15,BLACKWATER,33.05,-111.61
35545,205556,5.2,SHOPISHK,32.7041,-111.6925
35545,205556,2.3,LA PALMA,32.8934,-111.4838
35545,205556,4.29,VALLEY FARMS,33.0363,-111.481
35545,206519,5.69,HARCUVAR,33.8499,-113.6742
35545,206519,6.19,WENDEN,33.9035,-113.589
35545,206519,4.15,WENDEN,33.8214,-113.4778
38944,226095,6,CAMERON,29.7198,-93.3383
38945,226096,0,LINWOOD,39,-95.03
38945,226097,0.87,SUNFLOWER,39.08,-94.88
38945,226098,0.87,PIPER,39.12,-94.88
38945,226099,5.5,LANSING,39.2,-94.82
38945,226100,1.07,WOLCOTT,39.18,-94.8
38946,226102,1.08,OSAWATOMIE,38.5,-94.95
38946,226102,1.29,OSAWATOMIE,38.4961,-94.9068
38946,226102,1.25,OSAWATOMIE,38.4854,-94.9162
38946,226102,1.12,OSAWATOMIE,38.4916,-94.9478
38947,226105,0,LANSING,39.25,-94.9
38948,226106,0,ANACOCO,31.25,-93.35
38948,226107,0.57,ANACOCO,31.249,-93.3404
38949,226139,1.24,KENOSHA,42.589,-87.809
38949,226806,3.49,NORTH POINT LTHOUSE,43.046,-87.879
38950,226128,4.03,WAYSIDE,34.79,-101.48
38950,226129,2,WELLINGTON,34.8767,-100.2065
38950,226130,0,WELLINGTON,34.85,-100.22
38952,226141,2.27,HEREFORD MUNI ARPT,34.85,-102.36
38952,226142,3.45,HEREFORD MUNI ARPT,34.8,-102.32
38952,226143,0,HEREFORD,34.82,-102.4
38953,226175,1,HAYPOINT,46.9134,-93.5919
38953,226175,1.5,HAYPOINT,46.9154,-93.5775
38953,226179,5.42,ROCK CREEK,45.7301,-92.8733
38953,226179,9.47,PINE CITY MUNI ARPT,45.7977,-92.7683
38953,238598,2,BACKUS,46.7911,-94.5
38953,238599,0,BACKUS,46.82,-94.5
